Country,Life_expectancy ,GDP_per_capita,Population,Continent
Afghanistan,58.19,340.02,9972259.813,Asia
Albania,75.16,2119.73,696911.625,Europe
Algeria,73.62,2847.85,21649827.44,Africa
Angola,49.02,1975.14,10147099.19,Europe
Antigua and Barbuda,75.06,9759.31,0,Africa
Argentina,75.16,6998.58,20121204.5,South America
Armenia,73.4,1999.99,1015164.625,Asia
Australia,81.81,34637.57,4587009.875,Oceania
Austria,81.48,33827.48,6474879.875,Europe
Azerbaijan,70.73,3302.95,2157370.5,Asia
Bahamas,74.29,0,0,North America
Bahrain,75.73,11191.25,0,Asia
Bangladesh,69.3,443.56,42985163.88,Asia
Barbados,74.36,12017.1,0,North America
Belarus,69.91,3811.53,6371866.813,Europe
Belgium,80.68,16915.31,2884042.563,Europe
Belize,69.27,3933.01,170392.875,Africa
Benin,57.57,561.17,3942978.938,Africa
Bhutan,66.16,1353.99,492584.9375,Asia
Bolivia (Plurinational State of),67.71,0,0,South America
Bosnia and Herzegovina,75.97,2245.03,1986993.063,Europe
Botswana,56.05,4498.29,1063867.375,Africa
Brazil,73.38,6143.16,88128071.25,South America
Brunei Darussalam,76.49,19744.81,0,Asia
Bulgaria,72.85,4938.98,5290923.938,Europe
Burkina Faso,55.64,410.37,6143694.813,Africa
Burundi,55.54,137.82,3915446.688,Africa
C̫te d'Ivoire,50.39,0,0,Africa
Cabo Verde,72.52,2023.54,292600.25,Africa
Cambodia,64.34,466.2,7145967.438,Asia
Cameroon,54.02,781.02,9967291.938,Africa
Canada,81.69,29382.91,11364053.81,North America
Central African Republic,48.51,363.06,2016546.125,Africa
Chad,50.39,484.79,4114092.063,Africa
Chile,79.45,6202.34,14671763.94,Africa
China,74.26,2345.3,321812.0625,Asia
Colombia,73.29,3321.66,31767432.63,Africa
Comoros,61.58,630.38,532200.6875,Africa
Congo,59.04,0,0,Africa
Cook Islands,0,0,0,Oceania
Costa Rica,78.59,3957.23,2309299.438,South America
Croatia,76.12,9056.78,1159772.375,Europe
Cuba,77.98,3180.43,0,North America
Cyprus,79.68,13898.89,390274.375,Europe
Czechia,76.77,0,0,Europe
Democratic People's Republic of Korea,69.19,0,0,Asia
Democratic Republic of the Congo,55.69,0,0,Africa
Denmark,79.26,33067.41,4260081.375,Europe
Djibouti,60.76,898,634116.1875,Africa
Dominica,0,722.76,0,North America
Dominican Republic,72.34,3509.5,4448642.688,North America
Ecuador,74.73,2005.35,8710592.063,South America
Egypt,71.5,0,0,Africa
El Salvador,71.74,2517.83,2930826.5,North America
Equatorial Guinea,55.31,7902.41,556765.3125,Africa
Eritrea,60.69,259.4,2071919.333,Africa
Estonia,74.94,8340.43,791848.6875,Europe
Ethiopia,59.11,264.97,43950760.75,Africa
Fiji,68.71,2947.61,650205.125,Oceania
Finland,80.71,25268.65,3493082.313,Europe
France,82.22,26465.55,27581733.13,Europe
Gabon,62.24,5179.26,1007302.313,Africa
Gambia,59.46,0,0,Africa
